1,1,78,17,4,3
1,2,76,12,4,1
1,3,59,7,3,1
1,4,60,17,3,3
1,5,43,17,2,3
1,6,59,12,3,1
1,7,56,16,3,3
1,8,70,9,3,1
1,9,43,16,2,3
1,10,46,10,2,1
1,11,74,8,4,1
1,12,77,12,4,1
1,13,45,9,2,1
1,14,62,7,3,1
1,15,46,12,2,1
1,16,63,17,3,3
1,17,71,12,3,1
1,18,42,7,2,1
1,19,51,6,3,1
1,20,73,11,4,1
1,21,41,17,2,3
1,22,49,17,3,3
1,23,49,16,3,3
1,24,60,12,3,1
1,25,77,11,4,1
1,26,42,7,2,1
1,27,45,14,2,2
1,28,48,12,2,1
1,29,76,8,4,1
1,30,78,5,4,1
1,31,44,10,2,1
1,32,57,12,3,1
1,33,61,9,3,1
1,34,52,11,3,1
1,35,74,17,4,3
1,36,48,7,2,1
1,37,71,7,3,1
1,38,45,16,2,3
1,39,54,11,3,1
